IPv4-адрес,Критерий доступности,Сумма чисел
104.16.254.49,port_80_open,423
192.30.252.153,port_80_open,627
192.30.252.154,port_80_open,628
13.32.1.24,port_80_open,70
13.32.1.64,port_80_open,110
13.32.1.104,port_80_open,150
13.32.1.144,port_80_open,190
13.32.1.184,port_80_open,230
13.32.1.224,port_80_open,270
13.32.2.8,port_80_open,55
13.32.2.48,port_80_open,95
13.32.2.88,port_80_open,135
13.32.2.128,port_80_open,175
13.32.2.168,port_80_open,215
13.32.2.208,port_80_open,255
13.32.2.248,port_80_open,295
13.32.3.32,port_80_open,80
13.32.3.72,port_80_open,120
13.32.3.112,port_80_open,160
13.32.3.152,port_80_open,200
13.32.3.192,port_80_open,240
13.32.3.232,port_80_open,280
13.32.4.16,port_80_open,65
13.32.4.56,port_80_open,105
13.32.4.96,port_80_open,145
13.32.4.136,port_80_open,185
13.32.4.176,port_80_open,225
13.32.4.216,port_80_open,265
13.32.5.0,port_80_open,50
13.32.5.40,port_80_open,90
13.32.5.80,port_80_open,130
13.32.5.120,port_80_open,170
13.32.5.160,port_80_open,210
13.32.5.200,port_80_open,250
13.32.5.240,port_80_open,290
13.32.6.24,port_80_open,75
13.32.6.64,port_80_open,115
13.32.6.104,port_80_open,155
13.32.6.144,port_80_open,195
13.32.6.184,port_80_open,235
13.32.6.224,port_80_open,275
13.32.10.0,port_80_open,55
13.32.10.40,port_80_open,95
13.32.10.80,port_80_open,135
13.32.10.120,port_80_open,175
13.32.10.160,port_80_open,215
13.32.10.200,port_80_open,255
13.32.10.240,port_80_open,295
13.32.11.24,port_80_open,80
13.32.11.64,port_80_open,120
13.32.11.104,port_80_open,160
13.32.11.144,port_80_open,200
13.32.11.184,port_80_open,240
13.32.11.224,port_80_open,280
13.32.12.8,port_80_open,65
13.32.12.48,port_80_open,105
13.32.12.88,port_80_open,145
13.32.12.128,port_80_open,185
13.32.12.168,port_80_open,225
13.32.12.208,port_80_open,265
13.32.12.248,port_80_open,305
13.32.13.32,port_80_open,90
13.32.13.72,port_80_open,130
13.32.13.112,port_80_open,170
13.32.13.152,port_80_open,210
13.32.13.192,port_80_open,250
13.32.13.232,port_80_open,290
13.32.14.16,port_80_open,75
13.32.14.56,port_80_open,115
13.32.14.96,port_80_open,155
13.32.14.136,port_80_open,195
13.32.14.176,port_80_open,235
13.32.14.216,port_80_open,275
13.32.15.0,port_80_open,60
13.32.15.40,port_80_open,100
13.32.15.80,port_80_open,140
13.32.15.120,port_80_open,180
13.32.15.160,port_80_open,220
13.32.15.200,port_80_open,260
13.32.15.240,port_80_open,300
13.32.16.24,port_80_open,85
13.32.16.64,port_80_open,125
13.32.16.104,port_80_open,165
13.32.16.144,port_80_open,205
13.32.16.184,port_80_open,245
13.32.16.224,port_80_open,285
13.32.18.32,port_80_open,95
13.32.18.72,port_80_open,135
